rank_x,postid,rank_y,rank
1474.0,34454034,,
565.0,52803902,1337.0,
3365.0,34266186,,362.0
370.0,10859858,,
217.0,31044922,,
3013.0,2732397,,
1556.0,42578273,,3964.0
3070.0,29902891,96.0,
2406.0,44411575,,
440.0,44158882,1403.0,
2567.0,44262563,,
3290.0,45458787,,2560.0
1046.0,31045512,,211.0
793.0,59204544,,
2764.0,52535696,,
1970.0,49140030,,
219.0,53059075,3483.0,
2999.0,42426970,,1593.0
482.0,15046111,3679.0,
492.0,23327746,,
479.0,44666715,2009.0,
740.0,44786138,,
18.0,13272612,,
91.0,53799909,1137.0,
341.0,5913006,146.0,
705.0,43731301,,2393.0
1241.0,61702762,,1.0
2011.0,9023256,3562.0,
2.0,42864262,,346.0
510.0,54623575,,
369.0,45572226,1.0,
3271.0,61979426,,
1512.0,37059281,,
1654.0,56981960,,
2973.0,31955051,2862.0,
979.0,41783245,8.0,
165.0,49640909,1.0,
956.0,23252231,,
3.0,47446458,,
1604.0,45968501,,1731.0
1600.0,61958925,,
1790.0,51320621,,
2451.0,52521310,,82.0
1433.0,4559175,,
1942.0,31286965,,
1515.0,25340847,,
2063.0,49762128,,
160.0,61783029,,
1.0,29833571,56.0,
1442.0,57759059,9.0,
2.0,32723761,3855.0,
1604.0,8998884,,
1744.0,23678494,419.0,
1621.0,60797216,,2235.0
3289.0,48056851,,725.0
1.0,58531982,,
3730.0,17385801,2.0,
652.0,47444012,2163.0,
356.0,49628570,,
207.0,10306474,,
2886.0,51335424,1070.0,64.0
43.0,53033225,,
1768.0,37719503,,
1.0,43654787,,
403.0,27606380,,
3511.0,24195255,,
1720.0,56702965,,
1202.0,37266143,,
3.0,60878248,,
1.0,24195562,,
10.0,4794859,241.0,
3.0,11672050,,
3.0,15960129,1331.0,
128.0,19474552,,
2882.0,35799426,,
265.0,56960608,,
35.0,51071941,12.0,
2548.0,21651978,2109.0,
1685.0,53813758,,
3.0,32206623,,
1.0,31268826,3612.0,
49.0,40557147,,
19.0,8889554,,
460.0,10303241,171.0,
1144.0,43850293,,
1237.0,46799063,3174.0,
453.0,3114043,72.0,
1191.0,14671609,,
1025.0,46649403,2168.0,
235.0,20518376,748.0,
3.0,6886416,,
726.0,10032052,,
2073.0,47152855,,1506.0
469.0,45157057,,
2.0,28436855,,
3430.0,47777708,,
135.0,10404224,,
1970.0,58890738,1238.0,
1896.0,27650331,,
17.0,29948919,1.0,
2419.0,21035101,1073.0,
17.0,27850123,,
1948.0,35359622,35.0,
561.0,54737221,,
478.0,22736107,1386.0,77.0
15.0,46348193,,2361.0
107.0,42789833,,
910.0,33346823,,
